Responder_id,LanguagesWorkedWith
1,HTMLCSS;Java;JavaScript;Python
2,C++;HTMLCSS;Python
3,HTMLCSS
4,C;C++;C#;Python;SQL
5,C++;HTMLCSS;Java;JavaScript;Python;SQL;VBA
6,Java;R;SQL
7,HTMLCSS;JavaScript
8,BashShellPowerShell;C;C++;HTMLCSS;Java;JavaScript;Python;SQL
9,BashShellPowerShell;C#;HTMLCSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s)
10,C#;Go;JavaScript;Python;R;SQL
11,Other(s)
12,BashShellPowerShell;HTMLCSS;Java;Python;R;SQL
13,BashShellPowerShell;HTMLCSS;JavaScript;PHP;SQL;TypeScript
14,C++
15,Assembly;BashShellPowerShell;C;C++;HTMLCSS;Java;JavaScript;PHP;SQL
16,BashShellPowerShell;C#;HTMLCSS;JavaScript;TypeScript;VBA
17,BashShellPowerShell;HTMLCSS;JavaScript;TypeScript
18,Python;R
19,C#;HTMLCSS;Java;JavaScript;SQL;TypeScript
20,BashShellPowerShell;C#;HTMLCSS;Java;JavaScript;PHP;Python;R;SQL
21,Assembly;BashShellPowerShell;C;C++;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift
22,BashShellPowerShell;C++;HTMLCSS;JavaScript;Python;Ruby;SQL;TypeScript
23,BashShellPowerShell;HTMLCSS;JavaScript;Python;Ruby;SQL
24,HTMLCSS;JavaScript;PHP;TypeScript
25,HTMLCSS;JavaScript;PHP;SQL;TypeScript
26,BashShellPowerShell;C++;C#;HTMLCSS;JavaScript;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA
27,C++;JavaScript;Python;Ruby;SQL;TypeScript
28,JavaScript;TypeScript
29,BashShellPowerShell;JavaScript;SQL
31,Python
32,BashShellPowerShell;HTMLCSS;JavaScript;PHP;Python
33,C++;Python;R
34,HTMLCSS;JavaScript
35,HTMLCSS;JavaScript
36,Java;Kotlin;Python
37,BashShellPowerShell;JavaScript;Python;Other(s)
38,C#;HTMLCSS;JavaScript;SQL
39,C#;JavaScript;SQL;TypeScript
40,C#;HTMLCSS
41,BashShellPowerShell;C;C++;HTMLCSS;Java;JavaScript;SQL
42,HTMLCSS;JavaScript;PHP;TypeScript
43,C++;C#;HTMLCSS;Java;JavaScript;Objective-C;SQL
44,BashShellPowerShell;C#;HTMLCSS;Java;JavaScript;SQL;TypeScript;WebAssembly
45,Python
46,BashShellPowerShell;C;C#;HTMLCSS;JavaScript;PHP;Python;SQL;Other(s)
47,Java;PHP;Ruby
48,HTMLCSS;PHP;SQL
49,BashShellPowerShell;HTMLCSS;Java;JavaScript;PHP;Python;SQL;TypeScript
50,BashShellPowerShell;C;C++;HTMLCSS;Java;JavaScript;PHP;Python;SQL
51,BashShellPowerShell;C++;HTMLCSS;Java;JavaScript;Python;R;TypeScript
52,BashShellPowerShell;C;C++;Elixir;Erlang;Go;HTMLCSS;Java;JavaScript;Kotlin;Python;Ruby;Rust;SQL;TypeScript
53,BashShellPowerShell;HTMLCSS;Java;JavaScript;PHP;SQL;TypeScript
54,BashShellPowerShell;HTMLCSS;JavaScript;Python
55,Java;Python;SQL
56,BashShellPowerShell;HTMLCSS;Java;SQL
57,JavaScript;Python
58,C#;Java;SQL
59,HTMLCSS;JavaScript;PHP;SQL
60,BashShellPowerShell;Go;JavaScript;PHP;Python;Ruby;SQL
61,C++;C#;HTMLCSS;JavaScript;PHP;Python;SQL;VBA
62,BashShellPowerShell;C++;Go;HTMLCSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA
